2024년 청출협 추천도서 - 고등학생 50선,,,,,,,
권장연령,도서명,"지은이 (글, 그림, 옮긴이)",출판사,주제어,가격,ISBN,도서소개(50자)
고등학생,약국 안의 세계사,"키스 베로니즈 지음, 김숲 옮김",동녘,약의 역사,"18,000 ",9788972970941 ,"아스피린부터 보톡스까지, 약은 어떻게 세계사를 뒤흔들고 세상을 바꿨을까?"
고등학생,"열일곱, 오늘도 괜찮기로 마음먹다",박하령,책폴,짝사랑,"12,000 ",9791193162026 ,좋아하는 마음 안팎의 갈등을 바라보며 ‘나를 믿는 힘’을 이끄는 유쾌발랄 다이어리!
고등학생,오늘 몇 번의 동의를 구했나요,오승현,사계절출판사,동의,"15,000 ",9791169811446 ,타인의 경계를 존중해야 하는 이유와 동의를 구하고 거절을 잘하는 법.
고등학생,우리는 마이너스 2야,전앤 글,사계절출판사,사계절문학상,"12,000 ",9791169811620 ,자신을 마이너스와 같은 존재로 치부하는 청소년들이 모여 서로의 빈틈을 채워나간다.
고등학생,우리는 이미 플랜트 엔지니어링을 알고 있다,박정호 지음,플루토,플랜트 엔지니어링,"18,000 ",9791188569526 ,"우리가 사용하는 거의 모든 물건을 만드는 플랜트와 플랜트 엔지니어링에 대해 
쉽게 설명한다."
고등학생,우주의 수학,"스토 야스시 지음, 전종훈 옮김",플루토,우주의 법칙,"18,500 ",9791188569595 ,"우주의 모든 것은 수학으로 표현된다. 
최소한의 수식으로 수학과 우주의 관계를 설명한다."
고등학생,원시별,손석춘 글,철수와영희,한국전쟁,"17,000 ",9791188215898 ,한국전쟁과 남북 분단을 다룬 손석춘 장편소설
고등학생,"정생, 꿈 밖은 위험해! ",이문영 글,서해문집,"역사소설, 꿈","13,800 ",9791192988290 ,"소설로 엿보는 조선 시대 사람들의 요모조모
양주골 서당 훈장 ‘정생’의 이상하고 괴이한 꿈속으로!"
고등학생,창작자를 위한 픽사 스토리텔링,"딘 모브쇼비츠 지음, 김경영 옮김",동녘,작법,"17,000 ",9788972971252 ,픽사 영화에 담긴 스토리텔링 원칙을 분석해 쉽고 재밌게 알려주는 작가 지망생의 필독 작법서
고등학생,청소년 마약에 관한 모든 질문 ,"김희준,공주영 글",주니어태학,"마약, 중독","16,800 ",9791168102415 ,"청소년 마약 문제를 조명한 첫 책!
양육자가 묻고, 마약 전문 변호사가 답하다"
